,Hindi,English
0,असत्य,Dishonest
1,बहनोई,Brother-in-law
2,गायक,Singer
3,ज्योतिष,Astrologer
4,राजनीतिज्ञ,Politician
5,किसान,Farmer
6,जौ,Barley
7,ज्वालामुखी,Volcano
8,युग,Era
9,साम्राज्य,Empire
10,आपातकाल,Emergency
11,अपराध,Crime
12,युद्ध,War
13,यहूदी,Jainism
14,जुआ,Gambling
15,नृत्य,Dance
16,कला,Art
17,विद्युत,Electricity
18,द्रव्य,Matter
19,ऊर्जा,Energy
20,तापमान,Temperature
21,अणु,Molecule
22,भेड़,Sheep
23,गरूड़,Eagle
24,महा विस्फोट,Big Bang
25,खड़िया,Chalk
26,लोहा,Iron
27,बर्फ़,Ice
28,जलयान,Ship
29,आविष्कार,Invention
30,शस्त्र,Weapons
31,दूरदर्शन,Television
32,पुल,Bridge
33,त्वचा,Skin
34,आंख,Eyes
35,कलाई,Wrist
36,पीला,Yellow
37,भूरा,Brown
38,चांदी,Silver
39,विशाल,Huge
